key_id,creation_date,algorithm,is_hsm_backed,rotation_enabled,permission_policy,vulnerability_score
key-00000,43:27.2,RSA_2048,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",64
key-00001,58:00.2,RSA_4096,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",53
key-00002,31:42.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",51
key-00003,56:38.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",18
key-00004,14:09.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",31
key-00005,11:22.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",35
key-00006,21:41.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",67
key-00007,35:04.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",75
key-00008,12:09.2,RSA_4096,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",52
key-00009,45:39.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",50
key-00010,14:22.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",50
key-00011,26:29.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",37
key-00012,36:32.2,RSA_4096,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",20
key-00013,38:10.2,3DES,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",52
key-00014,55:46.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",52
key-00015,25:07.2,RSA_4096,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",26
key-00016,59:23.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",91
key-00017,41:22.2,RSA_2048,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",57
key-00018,36:24.2,RSA_4096,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",23
key-00019,20:14.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",24
key-00020,48:32.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",28
key-00021,03:35.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",36
key-00022,08:17.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",37
key-00023,05:11.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",15
key-00024,37:29.2,RSA_2048,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",47
key-00025,43:14.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",92
key-00026,19:48.2,RSA_2048,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",66
key-00027,06:09.2,RSA_4096,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",37
key-00028,11:04.2,RSA_4096,FALSE,FALSE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",92
key-00029,36:49.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",22
key-00030,28:11.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",36
