eventTime,sourceIPAddress,userIdentity_arn,eventName,key_arn,errorCode,time_of_day,api_call_frequency
2025-09-01 00:34:00+00:00,145.26.42.23,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-04306,AccessDeniedException,0,1
2025-09-01 00:55:00+00:00,196.34.122.146,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-00774,,0,2
2025-09-01 01:03:00+00:00,205.24.99.54,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-05142,AccessDeniedException,1,3
2025-09-01 01:22:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-03858,AccessDeniedException,1,4
2025-09-01 01:39:00+00:00,153.214.43.17,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-05029,AccessDeniedException,1,4
2025-09-01 02:01:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-05013,AccessDeniedException,2,4
2025-09-01 02:23:00+00:00,145.26.42.23,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-03622,AccessDeniedException,2,3
2025-09-01 02:35:00+00:00,153.214.43.17,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-07099,AccessDeniedException,2,4
2025-09-01 03:36:00+00:00,89.2.178.25,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-01188,AccessDeniedException,3,1
2025-09-01 04:14:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-05835,AccessDeniedException,4,2
2025-09-01 04:19:00+00:00,196.34.122.146,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-05527,AccessDeniedException,4,3
2025-09-01 04:31:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-01246,AccessDeniedException,4,4
2025-09-01 05:19:00+00:00,205.24.99.54,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-06032,AccessDeniedException,5,2
2025-09-01 05:29:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-08762,AccessDeniedException,5,3
2025-09-01 05:54:00+00:00,166.89.76.221,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-00195,AccessDeniedException,5,3
2025-09-01 06:00:00+00:00,166.89.76.221,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-03459,AccessDeniedException,6,4
2025-09-01 06:08:00+00:00,209.88.32.87,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-03860,AccessDeniedException,6,5
2025-09-01 06:20:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-09990,AccessDeniedException,6,5
2025-09-01 06:28:00+00:00,196.34.122.146,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-09807,AccessDeniedException,6,6
2025-09-01 06:55:00+00:00,145.26.42.23,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-00268,AccessDeniedException,6,5
2025-09-01 06:56:00+00:00,205.24.99.54,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-00950,AccessDeniedException,6,6
2025-09-01 07:03:00+00:00,209.88.32.87,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-09290,AccessDeniedException,7,6
2025-09-01 07:20:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-05318,AccessDeniedException,7,5
2025-09-01 07:47:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-02108,AccessDeniedException,7,5
2025-09-01 07:53:00+00:00,196.34.122.146,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-07296,AccessDeniedException,7,6
2025-09-01 08:05:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-01763,,8,1
2025-09-01 08:12:00+00:00,205.24.99.54,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-00069,AccessDeniedException,8,4
2025-09-01 08:12:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-03389,,8,2
2025-09-01 08:21:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-03682,AccessDeniedException,8,4
2025-09-01 08:41:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-07139,,8,3
2025-09-01 08:47:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-01235,,8,4
2025-09-01 08:49:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-06428,AccessDeniedException,8,4
2025-09-01 09:02:00+00:00,209.88.32.87,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-04207,AccessDeniedException,9,4
2025-09-01 09:07:00+00:00,209.88.32.87,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-03601,AccessDeniedException,9,5
2025-09-01 09:10:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-00902,,9,4
2025-09-01 09:12:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-06450,,9,4
2025-09-01 09:12:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-02589,AccessDeniedException,9,5
